Anabaena sphaerica
Thermus thermophilus
Deinococcus radiodurans
Cetobacterium somerae
Fusobacterium nucleatum
Leptospira alexanderi
Persephonella
Hydrogenobacter thermophilus
Mariprofundus ferrooxydans
Neisseria meningitidis
Bordetella pertussis
Haemophilus influenzae
Aggregatibacter aphrophilus
Pasteurella multocida
Aliivibrio fischeri
Photobacterium profundum
Serratia symbiotica
Proteus penneri
Proteus vulgaris
Proteus mirabilis
Arsenophonus nasoniae
Providencia rettgeri
Providencia sneebia
Hafnia alvei
Edwardsiella ictaluri
Edwardsiella tarda
Sodalis glossinidius
Dickeya dadantii
Dickeya solani
Brenneria salicis
Samsonia erythrinae
Pectobacterium wasabiae
Pectobacterium betavasculorum
Pectobacterium atrosepticum
Pectobacterium carotovorum
Ewingella americana
Rouxiella chamberiensis
Serratia marcescens
Serratia proteamaculans
Pantoea agglomerans
Pantoea stewartii
Erwinia amylovora
Erwinia pyrifoliae
Mixta calida
Erwinia psidii
Erwinia tracheiphila
Pluralibacter gergoviae
Salmonella bongori
Escherichia albertii
Escherichia coli
Shigella flexneri
Shigella boydii
Shigella sonnei
Klebsiella aerogenes
Raoultella planticola
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella variicola
Escherichia fergusonii
Citrobacter werkmanii
Salmonella enterica
Citrobacter pasteurii
Citrobacter youngae
Citrobacter freundii
Citrobacter portucalensis
Citrobacter braakii
Citrobacter europaeus
Citrobacter murliniae
Citrobacter gillenii
Citrobacter amalonaticus
Citrobacter farmeri
Citrobacter koseri
Citrobacter rodentium
Citrobacter sedlakii
Kluyvera cryocrescens
Pseudescherichia vulneris
Enterobacter cancerogenus
Enterobacter cloacae
Atlantibacter hermannii
Cronobacter dublinensis
Cronobacter muytjensii
Cronobacter sakazakii
Cronobacter malonaticus
Cronobacter turicensis
Photorhabdus luminescens
Photorhabdus temperata
Xenorhabdus innexi
Xenorhabdus budapestensis
Xenorhabdus cabanillasii
Xenorhabdus indica
Xenorhabdus bovienii
Xenorhabdus mauleonii
Xenorhabdus szentirmaii
Xenorhabdus koppenhoeferi
Xenorhabdus hominickii
Xenorhabdus kozodoii
Xenorhabdus doucetiae
Xenorhabdus griffiniae
Xenorhabdus ishibashii
Xenorhabdus ehlersii
Xenorhabdus poinarii
Xenorhabdus japonica
Xenorhabdus vietnamensis
Xenorhabdus beddingii
Xenorhabdus khoisanae
Xenorhabdus miraniensis
Raoultella terrigena
Mangrovibacter phragmitis
Mangrovibacter plantisponsor
