Bordetella pertussis
Mariprofundus ferrooxydans
Neisseria meningitidis
Orientia tsutsugamushi
Aggregatibacter aphrophilus
Aliivibrio fischeri
Haemophilus influenzae
Haemophilus pittmaniae
Pasteurella multocida
Photobacterium profundum
Vibrio cholerae
Vibrio parahaemolyticus
Buttiauxella agrestis
Buttiauxella brennerae
Buttiauxella ferragutiae
Buttiauxella izardii
Buttiauxella noackiae
Buttiauxella warmboldiae
Cedecea davisae
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter europaeus
Citrobacter farmeri
Citrobacter freundii
Citrobacter gillenii
Citrobacter koseri
Citrobacter murliniae
Citrobacter pasteurii
Citrobacter portucalensis
Citrobacter rodentium
Citrobacter sedlakii
Citrobacter werkmanii
Citrobacter youngae
Cronobacter dublinensis
Cronobacter malonaticus
Cronobacter muytjensii
Cronobacter sakazakii
Cronobacter turicensis
Enterobacter cancerogenus
Enterobacter cloacae
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Escherichia hermannii
Escherichia marmotae
Escherichia ruysiae
Klebsiella aerogenes
Klebsiella huaxiensis
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella variicola
Kluyvera ascorbata
Kluyvera cryocrescens
Mangrovibacter phragmitis
Mangrovibacter plantisponsor
Mangrovibacter yixingensis
Phytobacter diazotrophicus
Phytobacter palmae
Phytobacter ursingii
Plesiomonas shigelloides
Pluralibacter gergoviae
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Pseudescherichia vulneris
Raoultella electrica
Raoultella planticola
Raoultella terrigena
Salmonella bongori
Salmonella enterica
Samsonia erythrinae
Scandinavium goeteborgense
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Shimwellia blattae
Erwinia amylovora
Erwinia psidii
Erwinia pyrifoliae
Erwinia tracheiphila
Mixta calida
Pantoea agglomerans
Pantoea stewartii
Wigglesworthia glossinidia
Edwardsiella ictaluri
Edwardsiella tarda
Hafnia alvei
Arsenophonus nasoniae
Morganella morganii
Photorhabdus luminescens
Photorhabdus temperata
Providencia rettgeri
Providencia sneebia
Providencia stuartii
Xenorhabdus beddingii
Xenorhabdus bovienii
Xenorhabdus budapestensis
Xenorhabdus cabanillasii
Xenorhabdus doucetiae
Xenorhabdus eapokensis
Xenorhabdus ehlersii
Xenorhabdus griffiniae
Xenorhabdus hominickii
Xenorhabdus indica
Xenorhabdus innexi
Xenorhabdus ishibashii
Xenorhabdus japonica
Xenorhabdus khoisanae
Xenorhabdus koppenhoeferi
Xenorhabdus kozodoii
Xenorhabdus mauleonii
Xenorhabdus miraniensis
Xenorhabdus poinarii
Xenorhabdus szentirmaii
Xenorhabdus vietnamensis
Biostraticola tofi
Brenneria salicis
Dickeya dadantii
Dickeya solani
Pectobacterium atrosepticum
Pectobacterium betavasculorum
Pectobacterium carotovorum
Pectobacterium wasabiae
Sodalis glossinidius
Ewingella americana
Rouxiella chamberiensis
Serratia entomophila
Serratia marcescens
Serratia proteamaculans
Serratia symbiotica
