Taxon,Enterobacterales,Gammaproteobacteria,Proteobacteria,Gracilicutes,Fusobacteria,Bacteria,Terrabacteria,Hydrobacteria
0-ref|WP_023051847.1|:1-693 outer membrane protein assembly factor [Cetobacterium somerae],,,,,1,1,,
0-ref|WP_060798921.1|:1-697 outer membrane protein assembly factor [Fusobacterium nucleatum],,,,,1,1,,
1-Terrabacteria-[Anabaena sphaerica],,,,1,,1,,
1-Terrabacteria-[Deinococcus radiodurans],,,,,,1,1,
1-Terrabacteria-[Microcystis aeruginosa],,,,,,1,1,
1-Terrabacteria-[Mycobacterium tuberculosis],,,,,,1,1,
1-Terrabacteria-[Thermus thermophilus],,,,,,1,1,
2-Hydrobacteria-[Borreliella burgdorferi],,,,1,,1,,
2-Hydrobacteria-[Helicobacter pylori],,,1,,,1,,
#2-Hydrobacteria-[Hydrogenobacter thermophilus],,,,,,1,,
#2-Hydrobacteria-[Persephonella],,,,,,,,
2-Hyrdrobacteria-[Leptospira alexanderi],,,,1,,1,,
3-Proteobacteria-[Bordetella pertussis],,,1,,,1,,
3-Proteobacteria-[Mariprofundus ferrooxydans],,,1,,,1,,
3-Proteobacteria-[Neisseria meningitidis],,,1,,,1,,
3-Proteobacteria-[Orientia tsutsugamushi],,,1,,,1,,
4-Gammaproteobacteria-[Aggregatibacter aphrophilus],,1,1,,,1,,
4-Gammaproteobacteria-[Aliivibrio fischeri],,1,1,,,1,,
4-Gammaproteobacteria-[Haemophilus influenzae],,1,1,,,1,,
4-Gammaproteobacteria-[Haemophilus pittmaniae],,1,1,,,1,,
4-Gammaproteobacteria-[Pasteurella multocida],,1,1,,,1,,
4-Gammaproteobacteria-[Photobacterium profundum],,1,1,,,1,,
4-Gammaproteobacteria-[Vibrio cholerae],,1,1,,,1,,
4-Gammaproteobacteria-[Vibrio parahaemolyticus],,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella agrestis],1,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella brennerae],1,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella ferragutiae],1,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella izardii],1,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella noackiae],1,1,1,,,1,,
Enterobacteriaceae-[Buttiauxella warmboldiae],1,1,1,,,1,,
Enterobacteriaceae-[Cedecea davisae],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter amalonaticus],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter braakii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter europaeus],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter farmeri],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter freundii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter gillenii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter koseri],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter murliniae],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter pasteurii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter portucalensis],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter rodentium],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter sedlakii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter werkmanii],1,1,1,,,1,,
Enterobacteriaceae-[Citrobacter youngae],1,1,1,,,1,,
Enterobacteriaceae-[Cronobacter dublinensis],1,1,1,,,1,,
