ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Anabaena sphaeric,Anabaena sphaerica,56106,ncbi:212446;gbif:5427269;irmng:11410088
Deinococcus radiodurans,Deinococcus radiodurans,563955,silva:Y11332;ncbi:1299;gbif:9797722;irmng:10033749
Microcystis aeruginosa,Microcystis aeruginosa,269069,silva:AB035549;ncbi:1126;worms:146558;gbif:3217630;gbif:7821770;irmng:10734981;irmng:10730591
Mycobacterium tuberculosis,Mycobacterium tuberculosis,604112,silva:X58890;ncbi:1773;gbif:3225140;irmng:10033268
Thermus thermophilus,Thermus thermophilus,276534,silva:EU616794;ncbi:274;gbif:5426395;irmng:10707944
Borreliella burgdorferi,Borreliella burgdorferi,1080470,silva:M60969;ncbi:139;gbif:3228185;gbif:7952970;irmng:10689673
Helicobacter pylori,Helicobacter pylori,123826,silva:AY366421;ncbi:210;gbif:3223395;irmng:10032463;irmng:10439494;irmng:10709534
Hydrogenobacter thermophilus,Hydrogenobacter thermophilus,904961,silva:Z30189;ncbi:940;gbif:3228282;irmng:10031507
Persephonella marina,Persephonella marina,734314,ncbi:309805;worms:572892;gbif:3228271;irmng:10542319
Leptospira alexanderi,Leptospira alexanderi,518712,ncbi:100053;gbif:5428209;irmng:10796428
Bordetella pertussis,Bordetella pertussis,373611,silva:AF142326;ncbi:520;gbif:3219833;irmng:11354203
Mariprofundus ferrooxydans,Mariprofundus ferrooxydans,191433,silva:JQ073806;ncbi:314344;worms:570892;gbif:5905994;irmng:11795652
Neisseria meningitidis,Neisseria meningitidis,611778,silva:AY146978;ncbi:487;gbif:3220226;irmng:10528686
Orientia tsutsugamushi,Orientia tsutsugamushi,320567,silva:D38626;ncbi:784;gbif:3221477;irmng:11424320;irmng:10543713
Aggregati bacteraphrophilus,Aggregatibacter aphrophilus,5282620,silva:M75040;ncbi:732;gbif:3222250;irmng:10435938;irmng:11338130
Aliivibrio fischeri,Aliivibrio fischeri,79581,silva:DQ187330;ncbi:668;worms:889930;worms:480250;worms:570701;gbif:5908955;irmng:10033157;irmng:11734129;irmng:11235929
Haemophilus influenzae,Haemophilus influenzae,682806,silva:AY613561;ncbi:727;gbif:3222212;irmng:11185101
Haemophilus pittmaniae,Haemophilus pittmaniae,372818,silva:AJ290754;ncbi:249188;gbif:3222203
Pasteurella multocida,Pasteurella multocida,623689,silva:JQ993873;ncbi:747;gbif:3222236;irmng:11120449;irmng:10662473
Photobacterium profundum,Photobacterium profundum,5251500,silva:DQ027055;ncbi:74109;worms:570736;gbif:3222392;irmng:11320665
Vibrio cholerae,Vibrio cholerae,219415,silva:X74697;ncbi:666;worms:395085;gbif:3222442;irmng:10032973;irmng:11187762
Vibrio parahaemolyticus,Vibrio parahaemolyticus,755192,silva:JF432066;ncbi:670;worms:422811;gbif:5427673;irmng:10032996;irmng:10032673
Buttiauxella agrestis,Buttiauxella agrestis,978732,silva:AJ293684;ncbi:82977;gbif:8899479;irmng:10962712
Buttiauxella brennerae,Buttiauxella brennerae,590628,silva:AJ233401;ncbi:82988;gbif:3221733;irmng:11034879
Buttiauxella ferragutiae,Buttiauxella ferragutiae,590635,silva:AJ233402;ncbi:82989;gbif:3221732;irmng:10030048
Buttiauxella izardii,Buttiauxella izardii,411233,silva:AJ233404;ncbi:82991;gbif:3221728;irmng:11184561
Buttiauxella noackiae,Buttiauxella noackiae,245774,silva:AJ293687;ncbi:82992;gbif:3221729;irmng:11049850
Buttiauxella warmboldiae,Buttiauxella warmboldiae,411241,silva:AJ233406;ncbi:82993;gbif:3221731;irmng:10924887
Cedecea davisae,Cedecea davisae,609760,silva:KC201361;ncbi:158484;gbif:3221932;irmng:10031172
Citrobacter amalonaticus,Citrobacter amalonaticus,659323,silva:FR870441;ncbi:35703;gbif:3221795;irmng:11205265;irmng:10030695
Citrobacter braakii,Citrobacter braakii,3818,silva:KC210853;ncbi:57706;gbif:3221791;irmng:10709803
Citrobacter europaeus,Citrobacter europaeus,5998277,ncbi:1914243;gbif:9554238
Citrobacter farmeri,Citrobacter farmeri,996778,silva:FN433016;ncbi:67824;gbif:3221799;irmng:10694259
Citrobacter freundii,Citrobacter freundii,424033,silva:AB741677;ncbi:546;gbif:3221800;irmng:10029729
Citrobacter gillenii,Citrobacter gillenii,996812,silva:JX294883;ncbi:67828;gbif:3221794;irmng:10029730
Citrobacter koseri,Citrobacter koseri,424070,silva:AB741685;ncbi:545;gbif:3221790;irmng:10033702;irmng:11287751;irmng:10028568
Citrobacter murliniae,Citrobacter murliniae,996821,silva:JQ795817;ncbi:67829;gbif:3221788;irmng:10843193
Citrobacter pasteurii,Citrobacter pasteurii,5626206,ncbi:1563222;gbif:7600571
Citrobacter portucalensis,Citrobacter portucalensis,279003,ncbi:1639133;gbif:9769073
Citrobacter rodentium,Citrobacter rodentium,996787,silva:AB682287;ncbi:67825;gbif:3221798;irmng:10028569
Citrobacter sedlakii,Citrobacter sedlakii,996796,silva:AB682286;ncbi:67826;gbif:3221793;irmng:11261163
Citrobacter werkmanii,Citrobacter werkmanii,996804,silva:AB741665;ncbi:67827;gbif:3221797;irmng:10736311
Citrobacter youngae,Citrobacter youngae,912618,silva:AB273741;ncbi:133448;gbif:3221792;irmng:11034104
Cronobacter dublinensis,Cronobacter dublinensis,385961,silva:EF059874;ncbi:413497;gbif:7888870
Cronobacter malonaticus,Cronobacter malonaticus,780120,silva:KC109002;ncbi:413503;gbif:7814659
