Species with no genome found:
Anabaena sphaerica
Deinococcus radiodurans
Leptospira alexanderi
Mariprofundus ferrooxydans
Aliivibrio fischeri
Photobacterium profundum
Providencia sneebia
Dickey adadantii
Dickey asolani
Brenneria salicis
Samsonia erythrinae
Pectobacterium betavasculorum
Erwinia psidii
Citrobacter murliniae
Kluyveracry ocrescens
Xenorhabdus innexi
Xenorhabdus cabanillasii
Xenorhabdus indica
Xenorhabdus mauleonii
Xenorhabdus szentirmaii
Xenorhabdus koppenhoeferi
Xenorhabdus kozodoii
Xenorhabdus ishibashii
Xenorhabdus ehlersii
Xenorhabdus japonica
Xenorhabdus vietnamensis
Xenorhabdus beddingii
Xenorhabdus khoisanae
Xenorhabdus miraniensis
Mangrovibacter plantisponsor
