species,start,stop
Fusobacterium_nucleatum,37602,39155
Proteus_mirabilis,2474089,2476497
Providencia_rettgeri,3852350,3854764
Serratia_marcescens,3992496,3994922
Salmonella_bongori,245661,248093
Escherichia_albertii,3947687,3950119
Escherichia_coli,197928,200360
Shigella_flexneri,188358,190790
Shigella_boydii,15845,18277
Shigella_sonnei,2797695,2800127
Klebsiella_aerogenes,855582,858002
Raoultella_planticola,2717711,2720140
Klebsiella_michiganensis,4849047,4851476
Klebsiella_oxytoca,5011942,5014380
Citrobacter_freundii,3977094,3979517
Citrobacter_amalonaticus,256045,258474
Citrobacter_farmeri,3730895,3733324
Enterobacter_cloacae,869311,871728
